,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-02 23:59:58+00:00,1356754262525571074,"@TheTorontoSun Because it's Calgary and not Montreal
COVID vaccine solution was here in Calgary - Trudeau looked to China
We never asked for $1B we asked for $35M
Had we gotten that we wouldn't be starting Phase 1 right now, we would be in Phase 3 Providence Therapeutics
https://t.co/i26yWBdZEW",CRC57325971,1,CRC,en
1,2021-02-02 23:59:57+00:00,1356754258096455687,"I do have an issue with all the news stories about the COVID-19 vaccine. Why do we have to keep showing people getting shots?  

I hate shots. You’re not helping.",wgkcss,2,William 🎩 Gentleman Overlord,en
2,2021-02-02 23:59:56+00:00,1356754256531845122,"A survey spearheaded by UST researchers shows a high percentage of respondents worried on COVID-19 vaccines' effects, efficacy, safety, and high cost.

https://t.co/hKtZlaRopS",cnnphilippines,18,CNN Philippines,en
3,2021-02-02 23:59:54+00:00,1356754248046759936,"""Trudeau announces deal to manufacture COVID-19 vaccines in Canada""  https://t.co/Cv5VAtjVug",RemnantVessal,0,Endtime Remnant,en
4,2021-02-02 23:59:53+00:00,1356754241247989764,The PlayStation 5 &amp; covid vaccine roll outs are equally terrible,ceb3_,10,charity,en
5,2021-02-02 23:59:52+00:00,1356754240581087234,"@Andy_In_The_UK WHERE ARE THE GOOD PEOPLE ON TWITTER ? LET’S RETWEET THIS VIDEO and SHARE SHARE SHARE ! 
Dr Vernon Coleman breaks down as he explains the worldwide #genocide taking place with these so called Covid vaccines 
https://t.co/rbTcBlzL3T
#VernonColeman #Covid19",EmpressYudah,2,Yudah Naphtali #BORNFREE,en
6,2021-02-02 23:59:50+00:00,1356754230695104514,"Friday: Sister is fine.
Saturday: Sister gets COVID vaccine.
Sunday: Sister has COVID symptoms.
Monday: Still has COVID symptoms.
Tuesday: Sister tests positive for COVID.

Lol. Can we skip to 2022? 
(Yes, I'm assuming this is a coincidence)",MitchHolland23,0,Mitch Holland,en
7,2021-02-02 23:59:42+00:00,1356754196855463938,"7-
@Vbiruta  also spoke about the Covid-19 vaccine, saying the Commonwealth, could play a key role in ensuring equitable access to and distribution of fairly priced vaccines, using its experience as a leader on environment and climate change that continue to affect communities.",fredkalisa1,0,fred kalisa,en
8,2021-02-02 23:59:39+00:00,1356754185795043331,"Cuomo says NYC, local gov’ts can decide whether restaurant workers, taxi drivers can get COVID vaccine https://t.co/GtCL8uYYdp 
I applaud @NYGovCuomo for opening to more eligible recipients. I ask that we include #clergy. They too sit on the #frontlines of communities of color.",KhariOEdwards,1,Khari O. Edwards,en
9,2021-02-02 23:59:33+00:00,1356754158167052288,Detroit officials working to triple number of COVID-19 vaccines administered https://t.co/jrABJ8YaV4 https://t.co/ijI7582rvh,WCMUNews,0,WCMU Public Radio,en
10,2021-02-02 23:59:32+00:00,1356754154497085440,Experts split on delaying Covid-19 vaccine second doses https://t.co/mByvTKXLcS,swissbusiness,0,swissbusiness,en
11,2021-02-02 23:59:30+00:00,1356754148570640384,Round 2 of my #Moderna vaccine. The only side effect I had after the first injection was a wicked sore arm. Hoping for the best. #COVID #Covid_19 https://t.co/TEhIm3L9yI,HonnyDipp,1,Kisha,en
12,2021-02-02 23:59:29+00:00,1356754143742840832,"Factors that drive herbicide resistance:
-massive numbers
-pest diversity
-poor control
-chemical reliance

The parallels with covid &amp; vaccines are frightening. Surely covid will mutate faster than new vaccines can be rolled out.

Where is the #big6- for covid? #whathavewelearned https://t.co/aaqJOXeJeb",ipaddockapps,10,iMic Fels. Heres to 22,en
13,2021-02-02 23:59:28+00:00,1356754136851566592,"WOW: CDC Data Reports at Least 273 Deaths &amp; 9,845 Adverse Events to COVID-19 Vaccine Thus Far https://t.co/0hpNfq4UI3",VickiLa51069468,0,Vicki Lang,en
14,2021-02-02 23:59:26+00:00,1356754131298312207,I think I’m giving myself a headache from over thinking about the Covid vaccine I just got 💀💀,looops_28,0,loooops🐝,en
15,2021-02-02 23:59:25+00:00,1356754126764408835,"MORE VACCINES: Gov. Andrew Cuomo had some welcome news from the federal government during his COVID-19 briefing Tuesday, announcing that it is increasing its supply of vaccines to states. https://t.co/41oWIhi9Cz",News12WC,3,News12WC,en
16,2021-02-02 23:59:17+00:00,1356754093864349704,"@FloridaGOP @GovRonDeSantis I wonder if some of those @GovRonDeSantis @Publix vaccines will make into the Black neighborhoods? Publix historically have avoided those areas, as has DeSantis, probably not. COVID-19 kills Black folks at a much higher rate that the population. Just asking for a Black guy.",MatthewBParksSr,2,All Might M@,en
17,2021-02-02 23:59:17+00:00,1356754091490344961,"@TCRG2012 @terryjtucker TX if you’re tired of devastating Covid cases having to drive hours to receive a vaccine and wait for hours to get food from a food bank, #VoteTerryTucker for Congress TX03 https://t.co/0T3NOp5uBh",GlamMa202067,0,Allisha,en
18,2021-02-02 23:59:15+00:00,1356754083214934019,"HumanProgress: More than 100 million Covid-19 vaccine doses have been administered worldwide, according to the latest data tracked by Bloomberg. https://t.co/DYyNnk2k31 Good things happening.#fb",tudor_jacob,0,Jacob Tudor,en
19,2021-02-02 23:59:12+00:00,1356754073052184576,"@fordnation COVID-19 the weekend your government had an excuse for vaccine delays,yesterday another, today yet another, tomorrow what next and we still don't have an answer as to when we get ours, are you using Trump's template.",gordonhhi,0,Gordon Cairns,en
20,2021-02-02 23:59:12+00:00,1356754070162268161,"I still have a headache from the effects of the covid vaccine, but aside from the cold I didn't feel anything else, I mean normal pa naman ako .. 🙂",G7SevenSouls,1,Hiautus,en
21,2021-02-02 23:59:12+00:00,1356754069168218113,Further analysis finds Oxford-AstraZeneca COVID-19 vaccine 76 percent effective 3 months after first shot – Yahoo News https://t.co/TGEiLsJire,k29664911,0,Today's news summary,en
22,2021-02-02 23:59:09+00:00,1356754059085152256,"""Despite an announcement Tuesday about his long-term plans to produce COVID-19 vaccines in Canada, Prime Minister Justin Trudeau ended up in the same place he was at the start.""

#BackOffTheLine #TrudeauVaccineFail
 https://t.co/o7StZ73Wml",alphaflight75,0,Dark Canuck,en
23,2021-02-02 23:59:08+00:00,1356754054114914310,"MORE VACCINES: Gov. Andrew Cuomo had some welcome news from the federal government during his COVID-19 briefing Tuesday, announcing that it is increasing its supply of vaccines to states.
https://t.co/1echXKF9Ry",News12HV,0,News12HV,en
24,2021-02-02 23:59:08+00:00,1356754053196308484,"Latinx COVID Deaths Rise by 1,000 Percent in Los Angeles as Vaccine Rollout Lags https://t.co/9knTOfVvg4 via @truthout",Spanishcountry,0,Teresa MASIA PERALES,en
25,2021-02-02 23:59:07+00:00,1356754050537066496,"@kantei_vaccine - confirmed COVID-19 illness in people (who) without evidence of previous infection. 
“感染前の人”を除外した、『COVID-19』を“発症していると確認された人々”に於いて。",feijoa_hal,0,ashworth,ja
26,2021-02-02 23:59:07+00:00,1356754050188984320,The Biden administration has announced that it will begin shipping about 1 million COVID-19 vaccine doses a week directly to thousands of pharmacies in an attempt to address equity concerns and speed up the country's crucial inoculation effort. https://t.co/wT8bXfANZq,tempkenalt,0,tempkenalt,en
27,2021-02-02 23:59:06+00:00,1356754044929335299,"Russian scientists say country's Sputnik V vaccine appears safe, effective against COVID-19 https://t.co/RQ1sJTWEuZ",WPBF25News,1,WPBF 25 News,en
28,2021-02-02 23:59:06+00:00,1356754044673347586,"@ChildrensHD Straight from the CDC: “While more is learned every day about COVID-19 and the virus that causes it, THERE IS STILL A LOT THAT IS UNKNOWN.” So they got a so-called vaccine out in a matter of weeks being experimented on people based on a lot that is still unknown. I registered.",DragonEmbrace,0,Live & let live,en
29,2021-02-02 23:59:02+00:00,1356754029364137986,Getting my first dose of the covid vaccine. 😬,xChrisDuran,1,Chris Duran (Taylor’s Version),en
30,2021-02-02 23:58:58+00:00,1356754011861311493,"COVID-19 Q&amp;A: Vaccine administered vs. distributed, new online resource, new vaccines, and getting vaccinated after COVID https://t.co/e6qcM5SKgW via @IDHW",IDHW,2,DHW,en
31,2021-02-02 23:58:52+00:00,1356753987538722819,"Good evening @GavinNewsom, one way you could slow the spread and fight covid cases and deaths (and ableism) in California is by making sure people with high-risk conditions of ALL ages qualify for the vaccine now—not just older adults! #HighRiskCA",emilybrooks89,128,Emily Brooks,en
32,2021-02-02 23:58:51+00:00,1356753981591048195,I Volunteered To Administer COVID-19 Vaccines. Here’s What I Saw During My Shift. https://t.co/SxJME0BrCL,WholeHogLiving,0,soto,en
33,2021-02-02 23:58:50+00:00,1356753980165079041,"@mmochroi Hello, here is your unroll: SIX successful COVID-19 vaccines! SIX! Three just in the past week! Extraordinary. The newest one is the Russian (Rus)… https://t.co/QNaQIMuPDV Have a good day. 🤖",threadreaderapp,0,Thread Reader App,en
34,2021-02-02 23:58:50+00:00,1356753977501745152,"Feeling super lucky to feel like crap from my second dose of the COVID vaccine. 

HOWMEVER, I found out Talk Show The Game Show is on HBOmax so, good all around. @KarenKilgariff @guybranum https://t.co/v4UkZTyzo0",vannahb4nana,0,savannah,en
35,2021-02-02 23:58:49+00:00,1356753975182315527,half of my job got the covid vaccine &amp; a lot of them ended up in the hospital I’ll be damned if I get that shit!,ManipatriceOx,0,8.12🦋,en
36,2021-02-02 23:58:45+00:00,1356753956068876291,@POTUS Covid- 19    indigenous vaccine made by bachelor of science student Gaurav Singh Rajput from India to combat with covid 19 pandemic it is not fake and rumour .contact number +918874028434 Indian talent made India superpower nation . https://t.co/rEtwMlBASu,GauravS98098645,0,Gaurav Singh,en
37,2021-02-02 23:58:44+00:00,1356753954965749766,"Sad day today, Captain Sir Tom Moore died rest in peace you beautiful soul :(

On the bright side, my uncle is able to get his covid vaccine which is always good!",j3ssica_2004,0,🎗J3ssica_2004,en
38,2021-02-02 23:58:40+00:00,1356753937345437699,"I'm livid that a #COVID19 hoaxer who spent an entire year refusing to wear a mask, social distance, stay home, or believe the COVID death numbers, jumped the vaccine line and has the gall to post about it on Facebook. 🤬",k0na,0,Doug Seyller,en
39,2021-02-02 23:58:35+00:00,1356753915769987072,Got my “ COVID Vaccine 💉 today “ #thankfulformyhusband https://t.co/KosDiik8Ka,gavrimy11,12,Se Feliz,en
40,2021-02-02 23:58:28+00:00,1356753888662020097,"Have questions about #COVID19 resources &amp; the vaccine? We're here to help. Visit https://t.co/NLrCt19i5k to learn about:

➡️ MyTurn COVID-19 vaccine notifications
➡️ Regional Stay Home Order updates
➡️ Small business &amp; employer relief
➡️ Local info &amp; alerts

+ more

#StopTheSurge https://t.co/fwu5qAiseq",ListosCA,7,Listos California,en
41,2021-02-02 23:58:28+00:00,1356753888221798401,"I learned A LOT in this discussion—hope you will enjoy it too. ⁦@libshipwreck⁩ Watch on #Periscope: #213. COVIDCalls 2.2.2021 COVID-19 VACCINES, LAW, AND SOCIETY

https://t.co/MdXDNxTob7",USofDisaster,0,Scott Gabriel Knowles,en
42,2021-02-02 23:58:21+00:00,1356753859142647812,Some complain about early Publix vaccine reservation start time. Damn. Be lucky there is a vaccine for your ass. While I’m out wondering every second weather I’m going to catch COVID trying to make a living. Your bitching for getting up early  https://t.co/9h5I49c1Rr,chrispearce28,0,Chris Pearce,en
43,2021-02-02 23:58:20+00:00,1356753853853663234,"Russia's COVID-19 Vaccine 91.6% Effective, Studies Show https://t.co/6JCRFd4KW0 #coronavirus #vaccine",drummike2012,0,Mike Williams,en
44,2021-02-02 23:58:19+00:00,1356753848069738496,"In 24-hour reversal, Cuomo says restaurant workers now eligible for COVID-19 vaccine https://t.co/pFDeSezdwS",RoyButta,0,Roy A. Butta,en
45,2021-02-02 23:58:14+00:00,1356753828880777216,"What a difference competence makes

Biden administration will start sending Covid vaccines directly to pharmacies as it ups shipments to states https://t.co/cvhIUY1Y62",WMBRAINIAC,0,Judicious Crapaholic,en
46,2021-02-02 23:58:05+00:00,1356753790960099328,"Russian scientists say country's Sputnik V vaccine appears safe, effective against COVID-19 https://t.co/hwhjBDQYLK",KCCINews,3,KCCI News,en
47,2021-02-02 23:58:05+00:00,1356753790549061635,"@radioactivez0r Yes, thank you. You can donate blood after receiving a COVID vaccine as long as you are feeling healthy and meet the regular eligibility requirements.",VitalantCA,0,Vitalant - California,en
48,2021-02-02 23:58:04+00:00,1356753786883067906,"More COVID-19 vaccine doses headed for Tennessee, nursing home vaccinations complete https://t.co/yclieX3phI",VSNTennessee,0,Verdant Square Network TN,en
