,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-12 23:59:53+00:00,1360378122328281089,"Words i now detest....
Bubble, isolate, restrictions, stay safe, key workers, frontline, mandatory, social distancing, mask, face covering, quarantine, lockdown, vaccine, covid testing, government, selfish, protect, visor, hand sanitizer, fines.......",obmarch05,2,Tiktok,en
1,2021-02-12 23:59:52+00:00,1360378117731221504,"While COVID-19 vaccines help build immunity for the prevention of infection, #antivirals play an important role in treating those who have been infected. In the second video of Behind the Sc(i)en(c)e, Gary Chinigo, one of our principal... #PFEColleague https://t.co/v8JjOiaZrM",LCl2021,0,Laura Friedman,en
2,2021-02-12 23:59:52+00:00,1360378117546770434,"Swedish university wants to test-compare Covid vaccines’ effectiveness on population of ENTIRE REGIONS, promises option to opt-out — RT World News https://t.co/qC7yCnAuXX",LouSedin,0,loumubarak@gmail,en
3,2021-02-12 23:59:51+00:00,1360378113704611841,"California to open COVID-19 vaccine to people with cancer, obesity, other conditions - Los Angeles Times https://t.co/H1y0JGxA9r",KrisDisharoon,0,Kristopher,en
4,2021-02-12 23:59:49+00:00,1360378104506699781,"@tatereeves I just got email from Texas that due to my hospital visit there and my age I am now able to schedule a Covid vaccine. I live in Miss, am 64, and 1b essential worker. When will I be able to schedule vaccine in Miss?",RobertroseJr2,0,Robert rose Jr.,en
5,2021-02-12 23:59:48+00:00,1360378099062374402,People eagerly getting the #covidvaccine should also be fans of Russian Roulette. https://t.co/Eh7eksNIGd,jbellamar,0,Jeff Lorenzo 🥂,en
6,2021-02-12 23:59:47+00:00,1360378096659087360,"2 brief HChron articles vs. in-depth, lengthy article in NY Times. No follow-up on why in the midst of an all-out vaccination drive, the head of the Harris County covid vaccine program was fired over using vaccines rather than throwing them out? County officials got off lightly. https://t.co/7bsKMF9ivi",MichaeMaher200A,1,Michael Maher,en
7,2021-02-12 23:59:43+00:00,1360378081517555717,"@Athletics Not until EVERYONE at the park has their COVID vaccines, wearing a mask, and spaced out 8ft from one another, otherwise no, @Athletics 

#NoRealBaseballUntilCovidHerdImmunity🎯💯⚾️",meguriai05,1,M-san,en
8,2021-02-12 23:59:43+00:00,1360378080892776453,"#Pfizer has not obtained #Approval for the COVID #Vaccine in #India #Anticovid #Asia #Reject 
https://t.co/TqqktpyBoT",tv6newslive,0,TV6 News,en
9,2021-02-12 23:59:34+00:00,1360378040065302533,Finally managed to help book a COVID vaccine appointment for my folks. Was tougher than copping the latest Jordans. SMH,aceattorney,4,aceattorney,en
10,2021-02-12 23:59:33+00:00,1360378037670445056,"Laurie &amp; Laura from VCS just received their 2nd doses of the COVID-19 vaccine!  #CCC/#VCS staff who choose to #CalltheShots &amp; are now or will be #ProudlyVaccinated, we are #proud of you! #COVIDcrushers #vaccinesnowhugslater #TeamVCS #PeopleFirst #CatalystStrong🦋 #CatalystsCare https://t.co/NdA0MeJ20n",Adjoinorg,1,Adjoin,en
11,2021-02-12 23:59:32+00:00,1360378035027935233,"@PhyllisBennis Israeli settlers have full access to COVID-19 vaccine + other privileges of Jewish Israeli citizenship. But 3 million Palestinians living in the same West Bank + 2 million more in the besieged Gaza Strip, are excluded. https://t.co/yjNeLeQvpf via @lancasteronline",JVP_LA,0,JVP Los Angeles #SaveSheikhJarrah,en
12,2021-02-12 23:59:32+00:00,1360378033719377920,"Pharmacies start administering their first 1 million Covid-19 vaccine doses from federal government
https://t.co/f7Q5zDiH39",frontroyalgirl,1,Nikki,en
13,2021-02-12 23:59:08+00:00,1360377932947066880,"I am tired of watching this ridiculous Nonsensical dog and pony show while businesses continue to close their doors, vaccines distribution and covid relief is put on back burner.  “A Republic if we can keep it”. Sad. @GOP",saracleon,0,Sara Leon,en
14,2021-02-12 23:59:03+00:00,1360377911803580418,"@AdamAfriyie When I don't take the vaccine, the risk is on me. Nobody else should have to suffer for my risk.

By the way, I was happy to risk ""covid"" all the way through 2020 but I had to suffer because other people didn't want to take the risk.

But I'm happy to be the bigger man.",Il_Gatto__,43,James Busby,en
15,2021-02-12 23:59:03+00:00,1360377911371513856,"Pulm MA: I got my COVID 💉 

Doc1&amp;2: WOOO HOO! 

Doc3 (me) opens🚪 : What’s going on?

MA: I got my 💉 

Doc3: WOOO HOO!

Doc4: Div Director: 🤔?

MA shows vaccine card

Doc4: NICE! 

Doc4 runs to office, grabs chocolates, hands them to MA

This is how we party in #pedspulm",devikaradhika,13,"Devika Rao, MD",en
16,2021-02-12 23:59:02+00:00,1360377908867530756,Is any COVID-19 vaccine going to waste in Georgia? Here’s what we’ve learned https://t.co/vrZarXwYqO,AllThingsWSB,0,All Things WSB-TV,en
17,2021-02-12 23:59:00+00:00,1360377898419380224,"AP-NORC poll: A third of US adults skeptical of #COVID19  shots
 https://t.co/LHsuM7wQN0 

We talked #covidvaccine hesitancy with @PeterHotez check it out here: https://t.co/mZgIcrzei2",TracktheVax,0,TracktheVax,en
18,2021-02-12 23:58:56+00:00,1360377882523090946,"Recently, Troy University thought it would get doses of the COVID vaccine as early as last week but that didn't happen and the timeline of when the school could get the vaccine is still unclear. Brady Talbert gives us an update. https://t.co/5aueudA4YQ",TroyTVNews,4,TROY TrojanVision,en
19,2021-02-12 23:58:53+00:00,1360377870737145863,"@ScottKirsner Sadly, I do not share your optimism. We will not reach herd immunity, COVID will become an endemic disease, it will continue mutating, and heightened safety precautions and continuing vaccines will probably become normal.",JeffreyKrasner,1,"Jeff ""Nazis Suck"" Krasner🏴‍☠️",en
20,2021-02-12 23:58:50+00:00,1360377858355388416,"653 Deaths, 12,044 COVID Vaccine Injuries Reported, Data Show + Media Misled on Hank Aaron’s Death + 36-Year-Old Dies After COVI https://t.co/xPjok9dnWJ",A_malabuu_life,0,A_malabuu_life,en
21,2021-02-12 23:58:50+00:00,1360377857684475904,"‘Sporting legends led by Sir Geoff Hurst urge over 70s to get Coronavirus vaccination’
I just hope Sir Geoff Hurst doesn’t get greedy like he did on that day in 1966 and want three jabs.    #covid #coronavirus #vaccine
https://t.co/Q5IQZTUVTc",mturner1961,0,Michael Turner,en
22,2021-02-12 23:58:45+00:00,1360377837295816705,"@dpakman why haven’t you reported about 501 Deaths + 10,748 Other Injuries Reported Following COVID Vaccine by the CDC. If you want to be fair, talk about vaccine safety as well as risks. Science is not infallible. How many people have to die to get you to talk about this?",claudia12063150,0,ClaudiaS,en
23,2021-02-12 23:58:35+00:00,1360377793926885378,"“According to sources, of the 64.7 lakh Covid vaccine doses that have been sent out by India pro bono as part, only 2 lakh are doses of India’s Covaxin. The rest are doses of Serum Institute's Covishield.” https://t.co/bVdvOtUqxK",sayani181,0,Sayani D.,en
24,2021-02-12 23:58:35+00:00,1360377793587130368,"@fred_crosby There's no deferral if you received a COVID-19 vaccine manufactured by AstraZeneca, Janssen/J&amp;J, Moderna, Novavax or Pfizer. If you received a live attenuated COVID-19 vaccine/don't know what type of COVID-19 vaccine you received, you must wait 2 weeks before donating blood.",RedCross,0,American Red Cross,en
25,2021-02-12 23:58:35+00:00,1360377792748265477,Video Makes Bogus Claims About ‘War Crimes’ and COVID-19 Vaccine Safety - https://t.co/MUoJDpzVo3 https://t.co/MAEVI54wu0,jonmhelm,0,Jon Helm,en
26,2021-02-12 23:58:30+00:00,1360377775543250945,"Part 1 - Albemarle Regional Health Services Provides Update on Regional Vaccine Clinics, Updated COVID-19 Vaccine Counts, Cases and Outbreaks.  For additional information, see the attached Press Release. https://t.co/qs0AryWdO0",ARHS_NC,3,ARHS_NC,en
27,2021-02-12 23:58:28+00:00,1360377766206730240,Took my mom to get her first vaccine dose today and I swear I thanked every person in there. 😭 #CovidVaccine #GetVaccinated,melaniesumrow,52,Melanie Sumrow,en
28,2021-02-12 23:58:28+00:00,1360377765577453569,"California To Expand COVID-19 Vaccine Eligibility To Residents With Severe Health Conditions, Disabilities starting march 15th.

Only people with type 2 diabetes with an A1C greater than 7.5% are on the list. No T1D’s at this time.

https://t.co/jCpS3F3Gam",USCWestDiabetes,0,USC Westside Center for Diabetes,en
29,2021-02-12 23:58:27+00:00,1360377762335363074,Fully vaccinated 🙏🏽 #COVIDVaccine,brittbinya,16,Brittany Nicole,en
30,2021-02-12 23:58:21+00:00,1360377736649465856,SCMP Explains: What's the difference between the major Covid-19 vaccines? https://t.co/Cu3Cm1pULE via @YouTube What's the difference between the major Covid-19 vaccines?,KremserMariana1,0,Kremser Mariana,en
31,2021-02-12 23:58:16+00:00,1360377716231581698,Coronavirus | COVID-19 vaccine for people over 50 years from March https://t.co/nBqMmnluAx,times24hnews,0,TIMES24H,en
32,2021-02-12 23:58:14+00:00,1360377707184361475,got the second dose of the covid vaccine and i feel like shit 🙃,jieunsuniverse,5,sierra 🝮 #sley,en
33,2021-02-12 23:58:09+00:00,1360377683943776256,@GovMikeDeWine No Covid vaccines to be had in Hamilton County. My husband and I were eligible this week. I'm assuming that is because teachers are being prioritized. If that is the only reason there are no vaccines available I'm OK with that. We need a registry for all providers in 1 place.,LCain64103138,2,LC,en
34,2021-02-12 23:58:01+00:00,1360377653996453889,"@jadenozzz what's the point of having a passport ? if the vaccine works, they wont get the covid anyway... those having the covid can be beside them..",JeanMichChatain,1,Jean-Michel Chatain,en
35,2021-02-12 23:58:00+00:00,1360377649680568321,"“By April, All Americans Will be Able to Get COVID-19 Vaccines: Fauci” - via @usnews - https://t.co/TRlLRx5esL
--
#COVID19 #covidvaccine #vaxnews #vaccines #vaccineswork #covid19vaccines #COVID19vaccine #vaccination",Vaxyourfam,1,Vaccinate Your Family,en
36,2021-02-12 23:57:55+00:00,1360377627895336964,"Happy Lunar New Year everyone! 💖🐮

Got a bit behind filling commissions, but expect this coloring sheet soon. And by soon, I mean it all depends on how I react to the Covid vaccine. Wish me luck! ✌🏻✨ https://t.co/6edlTLEENx",RoseandSpice,1,Spice & Rose,en
37,2021-02-12 23:57:55+00:00,1360377625991127047,"@JanEngleLewis1 @malachiobrien And, and, have the highest Covid-19 vaccine injections in the world as a percentage of their population..... thanks to the generosity of the US.",RJefress,1,Bob the Wretched (redeemed),en
38,2021-02-12 23:57:51+00:00,1360377608941285378,"Deaths of Elderly Who Recovered From COVID-19, but Died After Vaccine, Raise Questions https://t.co/EIuwwDuMto",peevee1966,0,PeeVee,en
39,2021-02-12 23:57:48+00:00,1360377598891749389,"Pharmacies start administering their first 1 million Covid-19 vaccine doses from federal government
https://t.co/uCTBvs3o7X",kstreet111,2,K.Street1111 SOS America,en
40,2021-02-12 23:57:48+00:00,1360377596580491266,"Teachers at a Los Angeles private school got Covid-19 vaccines -- even though they weren't eligible under county guidelines
https://t.co/UgJ4gADGXC",JonesVelwil9,0,Velma Jones/Redgal60,en
41,2021-02-12 23:57:47+00:00,1360377593933877249,Our @VVUSDPD Public Safety Team assisting by providing a safe environment for everyone here receiving their #COVIDVaccine . Thank you to our DSOs team for their assistance! Have a safe and wonderful weekend! #AppointmentsRequired #COVID19 #vaccine @RivCoDoc https://t.co/ky5JE7xf8J,vvusdpdOfficer1,23,Officer Guillot,en
42,2021-02-12 23:57:39+00:00,1360377558328565768,Central NY school district closes after many staff sick with side effects from Covid vaccine https://t.co/iaVkZWdFF6,mdfantastic,0,marydebbie,en
43,2021-02-12 23:57:33+00:00,1360377536467894272,"The Honorable Minister Louis Farrakhan warns do not take the experimental Covid vaccine. 

#reflectingfarrakhan https://t.co/bMJG1CXNiZ",SisterQuinM,1,Sister Quin M.,en
44,2021-02-12 23:57:33+00:00,1360377532684541960,Everything You Need to Know about the COVID-19 Vaccine to be in a Facebook Livestream on Thursday. https://t.co/ltou2WVh5z https://t.co/p9fCZRuUwu,sxm_news,1,SXM-NEWS,en
