,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
0,2021-02-19 23:59:58+00:00,1362914858409205761,@KSL5TV If the @US_FDA doesn’t approve this emerg use then @WHO should not approve it either. Only 66% effective. #COVIDVaccine,jewels_my,0,Jewel S,en
1,2021-02-19 23:59:56+00:00,1362914848737140739,".@ABC's broadcast: LIVE: Our @ABC News team has the latest on the coronavirus pandemic after Pres. Biden tours a COVID-19 vaccine manufacturing site in Michigan.

https://t.co/LdPdGbKB5T",AmericaDialogue,0,The American Dialogue,en
2,2021-02-19 23:59:55+00:00,1362914846937817090,Thoughts on the covid vaccines leading to antibodies inducing MIS-C or the more rare entity MIS-A?,PinkneyJodian,1,Jodian Pinkney,en
3,2021-02-19 23:59:44+00:00,1362914799328366596,"A Shot In the Arm - Infection prevention considerations with the COVID vaccine rollout.
https://t.co/HlXhuKmqxD via @dentalproductsreport",OSAPtweets,0,OSAP.org,en
4,2021-02-19 23:59:43+00:00,1362914794848858115,on the bright side 3 people in my family have gotten vaccine round 1 and since they are all high risk and the half our fam who have managed not to get covid up to this point and have no immunity im very happy about that!,alliecsays,1,usagi tsukino ❄️☃️🍾,en
5,2021-02-19 23:59:42+00:00,1362914790876839937,Unprotected African health workers die as rich countries buy up COVID-19 vaccines https://t.co/oCFaTVd1dM,AbidBadr,0,Abid Badr عابد بن حمود البدر,en
6,2021-02-19 23:59:40+00:00,1362914783591243778,People Who Had Covid Should Get Single Vaccine Dose https://t.co/a0AgsKTSUg,OldSchool1000,0,Joseph DeCaro,en
7,2021-02-19 23:59:35+00:00,1362914761722191875,Please share far and wide! #covidvaccine information in Somali by our Sheikh Fuad Dol 👏🏿 https://t.co/FsIkAG1hfD,aayeshahassan,12,Dr. Aayesha Hassan,en
8,2021-02-19 23:59:33+00:00,1362914754122055682,"Women, 34 and 44, dressed up as seniors to get COVID-19 vaccine, officials say

https://t.co/PySPyMahtP",RoseanneTellez,2,Roseanne Tellez,en
9,2021-02-19 23:59:33+00:00,1362914752222093316,I learned that the Covid vaccines have no part of the virus in it! I've had bad experiences with the flue shot. But I can't wait to get the Covid Vaccine. I have COPD so covid is like a death sentence for me. My parents refuse it too but I hope I can get it and show them its safe,Bigbones1983PG,2,Bones1983PG,en
10,2021-02-19 23:59:33+00:00,1362914751827877897,"Two women dressed as ‘grannies’ for a COVID vaccine. Then Florida deputies arrived
https://t.co/NuFyQv9Lxh",BillBusha,0,Billy The Dragon 🐉,en
11,2021-02-19 23:59:31+00:00,1362914745511124994,"I got my first covid vaccine today, thank god for scientists 🙌🏼🙌🏼",KianaforLife,1,Kiana Apperley,en
12,2021-02-19 23:59:31+00:00,1362914743854403586,Premier Jason Kenney provides update on COVID-19 vaccines in Alberta | LIVE https://t.co/nn8lFIRBfx,travelerapps,0,SearchBeat.com,en
13,2021-02-19 23:59:25+00:00,1362914717371559939,"Covid-19 inoculation drive: Industry wants to take part in vaccine rollout, says CII https://t.co/kdH5gwVExO",Thespuzz,0,TheSpuzz,en
14,2021-02-19 23:59:24+00:00,1362914715983298560,just got my first dose of my covid vaccine 😁,EVERYTlMEARl,31,arianna,en
